,Content ID,Reaction Type,Content Type,Category,Sentiment,Score,Datetime,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,studying,negative,0,11/7/2020,9:43:00 AM
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,photo,studying,negative,10,6/17/2021,12:22:00 PM
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,studying,negative,15,4/18/2021,5:13:00 AM
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,studying,negative,0,1/6/2021,7:13:00 AM
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,studying,positive,30,8/23/2020,12:25:00 PM
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,studying,neutral,35,12/7/2020,6:27:00 AM
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,photo,studying,positive,70,4/11/2021,5:35:00 AM
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,studying,negative,5,1/27/2021,8:32:00 AM
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,studying,neutral,35,4/1/2021,10:54:00 AM
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,photo,studying,positive,65,8/4/2020,5:05:00 AM
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,studying,neutral,20,11/7/2020,8:36:00 AM
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,studying,negative,15,11/2/2020,6:28:00 AM
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,studying,positive,30,11/1/2020,1:16:00 AM
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,studying,negative,5,10/7/2020,6:39:00 AM
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,studying,negative,15,9/3/2020,6:51:00 AM
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,studying,positive,75,2/24/2021,5:09:00 AM
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,studying,neutral,35,9/23/2020,6:24:00 AM
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,studying,neutral,20,2/24/2021,11:37:00 AM
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,studying,positive,30,5/22/2021,7:44:00 PM
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,photo,studying,positive,45,1/31/2021,4:03:00 PM
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,photo,studying,neutral,35,11/20/2020,5:26:00 PM
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,studying,negative,12,4/11/2021,8:47:00 AM
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,photo,studying,positive,50,6/13/2021,4:46:00 PM
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,photo,studying,positive,60,4/11/2021,2:29:00 AM
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,studying,negative,12,3/2/2021,7:21:00 AM
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,studying,negative,5,6/27/2020,6:44:00 PM
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,studying,negative,5,5/9/2021,9:05:00 AM
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,photo,studying,positive,70,8/4/2020,11:58:00 AM
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,studying,positive,75,8/28/2020,3:57:00 AM
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,photo,studying,positive,45,8/25/2020,8:21:00 AM
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,studying,negative,15,4/20/2021,11:48:00 PM
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,studying,positive,30,3/7/2021,12:40:00 PM
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,studying,neutral,20,5/24/2021,3:21:00 AM
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,studying,positive,75,1/24/2021,11:03:00 AM
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,studying,negative,0,4/9/2021,2:46:00 AM
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,photo,studying,positive,75,2/2/2021,3:43:00 AM
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,studying,positive,30,2/4/2021,3:06:00 AM
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,photo,studying,negative,10,11/9/2020,2:49:00 AM
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,photo,studying,negative,15,9/29/2020,4:00:00 PM
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,photo,studying,negative,10,11/29/2020,9:33:00 PM
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,photo,studying,positive,70,2/13/2021,7:54:00 AM
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,photo,studying,positive,30,7/14/2020,5:28:00 AM
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,photo,studying,neutral,20,8/23/2020,10:30:00 AM
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,photo,studying,negative,12,5/10/2021,9:27:00 AM
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,photo,studying,negative,5,3/15/2021,3:59:00 AM
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,photo,healthy eating,negative,10,6/25/2020,5:01:00 PM
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,photo,healthy eating,positive,45,9/13/2020,12:11:00 AM
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,photo,healthy eating,neutral,35,8/20/2020,6:17:00 PM
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,photo,healthy eating,negative,15,2/11/2021,4:53:00 AM
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,photo,healthy eating,negative,5,3/8/2021,10:40:00 AM
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,photo,healthy eating,negative,0,3/28/2021,9:15:00 PM
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,photo,healthy eating,negative,5,5/25/2021,1:00:00 AM
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,photo,healthy eating,positive,50,3/15/2021,12:17:00 PM
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,photo,healthy eating,positive,65,5/5/2021,4:26:00 AM
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,photo,healthy eating,positive,65,8/31/2020,12:21:00 AM
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,photo,healthy eating,positive,60,6/16/2021,3:02:00 AM
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,photo,healthy eating,neutral,20,7/7/2020,10:52:00 AM
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,photo,healthy eating,neutral,35,8/20/2020,7:59:00 AM
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,photo,healthy eating,positive,65,9/23/2020,11:15:00 AM
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,photo,healthy eating,positive,50,3/24/2021,5:56:00 AM
60,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,photo,healthy eating,negative,5,12/7/2020,7:13:00 AM
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,photo,healthy eating,positive,75,8/3/2020,4:41:00 AM
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,healthy eating,positive,72,1/10/2021,3:36:00 AM
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,photo,healthy eating,negative,15,9/20/2020,8:48:00 AM
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,photo,healthy eating,positive,70,7/20/2020,2:06:00 PM
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,healthy eating,positive,72,10/24/2020,12:15:00 PM
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,healthy eating,positive,30,6/6/2021,1:27:00 AM
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,photo,healthy eating,positive,60,12/25/2020,12:09:00 AM
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,photo,healthy eating,positive,50,6/14/2021,7:56:00 AM
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,photo,healthy eating,positive,50,6/5/2021,6:00:00 AM
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,photo,healthy eating,negative,5,11/18/2020,11:37:00 PM
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,healthy eating,positive,30,5/9/2021,2:42:00 AM
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,photo,healthy eating,negative,10,5/11/2021,8:38:00 AM
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,photo,healthy eating,neutral,35,11/12/2020,8:00:00 AM
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,photo,healthy eating,positive,60,6/21/2020,4:57:00 PM
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,photo,healthy eating,positive,75,3/4/2021,11:58:00 AM
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,photo,healthy eating,positive,70,7/9/2020,4:47:00 AM
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,photo,healthy eating,negative,5,8/1/2020,7:16:00 AM
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,photo,healthy eating,negative,10,11/23/2020,10:46:00 PM
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,photo,healthy eating,negative,15,12/11/2020,2:08:00 AM
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,photo,healthy eating,negative,10,4/23/2021,11:41:00 PM
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,photo,healthy eating,positive,70,11/13/2020,12:33:00 AM
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,healthy eating,positive,30,6/9/2021,10:13:00 AM
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,photo,healthy eating,positive,65,10/29/2020,7:41:00 PM
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,photo,healthy eating,positive,60,5/14/2021,12:47:00 PM
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,photo,healthy eating,negative,0,8/4/2020,5:40:00 AM
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,healthy eating,positive,72,8/7/2020,4:09:00 AM
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,healthy eating,positive,72,10/23/2020,9:19:00 PM
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,photo,healthy eating,positive,72,11/14/2020,11:53:00 PM
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,photo,healthy eating,negative,12,8/4/2020,7:26:00 AM
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,photo,healthy eating,positive,30,11/12/2020,4:54:00 AM
91,356fff80-da4d-4785-9f43-bc1261031dc6,worried,photo,technology,negative,12,4/3/2021,12:17:00 PM
92,356fff80-da4d-4785-9f43-bc1261031dc6,want,photo,technology,positive,70,9/27/2020,10:15:00 PM
93,356fff80-da4d-4785-9f43-bc1261031dc6,heart,photo,technology,positive,60,10/27/2020,5:45:00 AM
94,356fff80-da4d-4785-9f43-bc1261031dc6,scared,photo,technology,negative,15,10/15/2020,9:11:00 AM
95,356fff80-da4d-4785-9f43-bc1261031dc6,heart,photo,technology,positive,60,5/7/2021,9:16:00 AM
96,356fff80-da4d-4785-9f43-bc1261031dc6,hate,photo,technology,negative,5,9/16/2020,8:39:00 AM
97,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,photo,technology,neutral,20,10/29/2020,3:38:00 PM
98,01ab84dd-6364-4236-abbb-3f237db77180,scared,video,food,negative,15,5/24/2021,6:03:00 PM
99,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,GIF,cooking,positive,30,2/25/2021,8:02:00 PM
100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,GIF,cooking,negative,5,5/2/2021,3:45:00 AM
